Account,EUDIA_Rev,JH_ACV,Variance,EUDIA_Opps,JH_Opps,Status
Airbnb,211906.62,35844.0,176062.62,2,1,MATCHED
Airship Group Inc,166527.79,217748.57,-51220.78,1,1,MATCHED
Arabic Computer Systems,156452.86,98258.82,58194.03999999998,1,1,MATCHED
Aramark Ireland,8700.0,81432.0,-72732.0,1,2,MATCHED
Aryza,104079.87,226200.0,-122120.13,1,1,MATCHED
Asana,75000.0,0.0,75000.0,1,0,EUDIA ONLY
Bank of Ireland,1652399.77,840333.0,812066.77,4,6,MATCHED
Bayer,300000.0,0.0,300000.0,1,0,EUDIA ONLY
Cargill,2821000.0,0.0,2821000.0,5,0,EUDIA ONLY
Chevron,1275000.0,0.0,1275000.0,3,0,EUDIA ONLY
Coherent,1606646.0,0.0,1606646.0,5,0,EUDIA ONLY
Coillte,194837.52,19488.0,175349.52,1,1,MATCHED
Coimisiun na Mean,524815.03,0.0,524815.03,2,0,EUDIA ONLY
Coleman Legal,16652.78,0.0,16652.78,1,0,EUDIA ONLY
CommScope Technologies LLC,158201.4,266313.95999999996,-108112.55999999997,1,3,MATCHED
Consensys,79100.7,80805.6,-1704.9000000000087,1,2,MATCHED
Creed McStay,38804.44,0.0,38804.44,1,0,EUDIA ONLY
DHL North America,325000.0,0.0,325000.0,2,0,EUDIA ONLY
Datalex (Ireland) Limited,104912.51,313548.0,-208635.49,2,4,MATCHED
Delinea,120000.0,0.0,120000.0,1,0,EUDIA ONLY
"Department of Children, Disability and E",37152.91,1189000.0,-1151847.09,1,1,MATCHED
Dropbox International Unlimited Company,288853.06,396488.0,-107634.94,3,5,MATCHED
Duracell,395000.0,0.0,395000.0,2,1,MATCHED
ECMS,360000.0,0.0,360000.0,1,0,EUDIA ONLY
ESB NI/Electric Ireland,473355.25,241442.4,231912.85,1,1,MATCHED
Ecolab,200000.0,0.0,200000.0,1,0,EUDIA ONLY
Etsy Ireland UC,362329.54,657231.0599999999,-294901.51999999996,3,7,MATCHED
Gilead Sciences,186511.13,187920.0,-1408.8699999999953,1,1,MATCHED
Glanbia Management Services Limited,90341.33,240569.26,-150227.93,1,6,MATCHED
Graybar Electric,300000.0,0.0,300000.0,1,0,EUDIA ONLY
Hayes Solicitors LLP,69386.58,215180.0,-145793.41999999998,1,4,MATCHED
ICON Clinical Research Limited,9819.98,9819.98,0.0,1,1,MATCHED
IQVIA,300000.0,0.0,300000.0,1,0,EUDIA ONLY
Indeed Ireland Operations Limited,417845.98,1312110.8,-894264.8200000001,5,13,MATCHED
Intuit,560000.0,0.0,560000.0,3,0,EUDIA ONLY
Kellanova (Ireland),150291.33,0.0,150291.33,2,0,EUDIA ONLY
Kingspan,97085.7,8120.0,88965.7,1,1,MATCHED
LinkedIn Ireland Unlimited Company,0.0,0.0,0.0,2,0,EUDIA ONLY
"Meta Platforms, Inc.",1558211.2,0.0,1558211.2,1,0,EUDIA ONLY
Moy Park,0.0,74499.84,-74499.84,5,10,MATCHED
NTMA,170690.99,762700.0,-592009.01,1,4,MATCHED
Northern Trust Management Services (Irel,145711.82,262740.0,-117028.18,2,2,MATCHED
Novelis,90000.0,2900.0,87100.0,1,1,MATCHED
OpenAi,1537051.52,1144308.51,392743.01,10,10,MATCHED
Orsted,104079.87,69601.16,34478.70999999999,1,1,MATCHED
Peregrine Hospitality,42000.0,0.0,42000.0,1,0,EUDIA ONLY
Perrigo Pharma,208593.76,76560.0,132033.76,2,1,MATCHED
Sandbox,8975.0,0.0,8975.0,1,0,EUDIA ONLY
Sequoia Climate Fund,87000.0,87000.0,0.0,1,1,MATCHED
Silver Lake,25000.0,0.0,25000.0,1,0,EUDIA ONLY
Sisk Group,69386.58,58000.0,11386.580000000002,1,1,MATCHED
Spark Brighter Thinking,6500.0,0.0,6500.0,1,0,EUDIA ONLY
Stripe Payments Europe Limited,1223979.27,1941221.43,-717242.1599999999,2,11,MATCHED
Taoglas Limited,60782.64,180264.0,-119481.36,2,3,MATCHED
Teamwork Crew Limited T/A Teamwork.com,70357.99,73060.28,-2702.2899999999936,1,2,MATCHED
Tiktok Information Technologies UK Limit,296275.36,2809960.34,-2513684.98,3,32,MATCHED
Tinder LLC,228975.71,234145.11,-5169.399999999994,1,2,MATCHED
Toshiba US,166667.0,0.0,166667.0,1,0,EUDIA ONLY
U.S. Air Force,830287.33,0.0,830287.33,1,0,EUDIA ONLY
Udemy Ireland Limited,533721.5700000001,502633.8,31087.770000000077,2,8,MATCHED
Uisce Eireann (Irish Water),440882.33,0.0,440882.33,4,0,EUDIA ONLY
Wellspring Philanthropic Fund,145000.0,145000.0,0.0,1,1,MATCHED
Airbnb Ireland UC,0.0,282431.02,-282431.02,0,6,JH ONLY
Allied Irish Banks plc,0.0,17400.0,-17400.0,0,1,JH ONLY
Amundi Ireland Limited,0.0,167040.0,-167040.0,0,1,JH ONLY
Biomarin International Limited,0.0,157760.0,-157760.0,0,2,JH ONLY
Bookings Holdings Financial Services Int,0.0,14500.0,-14500.0,0,1,JH ONLY
Citibank,0.0,308154.0,-308154.0,0,3,JH ONLY
Coillte Farm Partnerships,0.0,19720.0,-19720.0,0,1,JH ONLY
Coimisiún na Meán,0.0,207060.0,-207060.0,0,2,JH ONLY
Concern,0.0,78416.0,-78416.0,0,1,JH ONLY
Corrigan & Corrigan Solicitors LLP,0.0,241280.0,-241280.0,0,1,JH ONLY
Dunnes Stores,0.0,51040.0,-51040.0,0,1,JH ONLY
Electricity Supply Board,0.0,768604.4,-768604.4,0,13,JH ONLY
FD Technologies,0.0,477901.44,-477901.44,0,5,JH ONLY
Fannin Limited,0.0,24882.0,-24882.0,0,3,JH ONLY
Fexco,0.0,40600.0,-40600.0,0,1,JH ONLY
Gas Networks Ireland,0.0,222721.16,-222721.16,0,5,JH ONLY
Gray Integrated Services of Europe,0.0,31320.0,-31320.0,0,2,JH ONLY
HostelWorld.com Limited,0.0,11020.0,-11020.0,0,1,JH ONLY
Intercom,0.0,82046.8,-82046.8,0,4,JH ONLY
Johnson Hana,0.0,0.0,-0.0,0,1,JH ONLY
Kellogg Europe Trading Limited,0.0,220098.4,-220098.4,0,8,JH ONLY
Kitman Labs,0.0,34800.0,-34800.0,0,1,JH ONLY
MICAREDRESS100 Company Limited by Guaran,0.0,127020.0,-127020.0,0,1,JH ONLY
McDermott Creed & Martyn,0.0,585367.3200000001,-585367.3200000001,0,4,JH ONLY
Mediolanum,0.0,75400.0,-75400.0,0,1,JH ONLY
Morgan Stanley & Co. International PLC,0.0,21750.0,-21750.0,0,1,JH ONLY
NBI Infrastructure DAC,0.0,31581.0,-31581.0,0,2,JH ONLY
OKG Payments Services Limited,0.0,121800.0,-121800.0,0,2,JH ONLY
Poe Kiely Hogan Lanigan,0.0,52200.0,-52200.0,0,1,JH ONLY
StepStone Group Europe Alternative Inves,0.0,240817.16,-240817.16,0,5,JH ONLY
Twitter International Unlimited Company,0.0,159210.0,-159210.0,0,2,JH ONLY
Uisce Éireann (Irish Water),0.0,956495.67,-956495.67,0,19,JH ONLY
VOLA.RO SRL,0.0,8073.6,-8073.6,0,1,JH ONLY
Wayflyer,0.0,151380.0,-151380.0,0,5,JH ONLY
Zurich Irish Life plc,0.0,58000.0,-58000.0,0,1,JH ONLY
